115,538493.33546,1455657.89485,682.18499,TOEWALL
116,538502.45390,1455667.31099,682.61248,STEP/TOEWALL
117,538505.68758,1455670.51408,682.78692,STEP/TOEWALL
118,538510.43351,1455675.21857,682.87588,TOEWALL
119,538516.63894,1455681.73211,683.15608,TOEWALL
120,538520.23114,1455685.21210,684.28068,TOEWALL
121,538518.98738,1455691.03222,684.95234,STEP/TOEWALL
122,538533.25001,1455676.94672,682.83193,TOEWALL
123,538559.28907,1455650.80563,681.30871,TOEWALL
124,538570.91975,1455638.93257,680.87254,TOEWALL
125,538596.36485,1455613.84384,680.81981,TOEWALL
126,538615.27888,1455595.48372,680.90398,TOEWALL
127,538614.96115,1455596.39599,684.83724,TOPWALL
128,538595.69453,1455614.99844,685.16727,TOPWALL
129,538582.18995,1455628.38192,685.15422,TOPWALL
130,538558.17616,1455652.50741,685.22715,TOPWALL
131,538546.07661,1455664.81951,685.24917,TOPWALL
132,538519.40159,1455691.31147,685.75852,TOPWALL
133,538519.72013,1455685.53372,684.50311,TOPWALL
134,538505.60503,1455670.89841,684.11660,TOPWALL
135,538504.16481,1455672.63077,684.10271,TOPWALL/TOPSTEP
136,538500.70905,1455668.98459,684.14514,TOPWALL/TOPSTEP
137,538501.89747,1455667.26348,683.85673,TOPWALL
138,538493.36753,1455659.10530,684.20638,TOPWALL
139,538491.07933,1455657.77547,684.12895,TOPWALL
140,538488.65272,1455658.29921,684.17493,TOPWALL
141,538485.41513,1455658.27995,684.34177,TOPWALL
142,538515.36498,1455693.12776,684.86646,STEP
143,538525.77517,1455702.90358,691.81137,STEP
144,538528.16578,1455700.25407,691.81076,STEP
145,538533.42267,1455703.77830,692.37928,SW
146,538561.81969,1455676.33497,691.71288,SW
147,538600.26710,1455640.32559,691.28863,SW
148,538617.52576,1455631.87606,691.07454,SW/BOC
149,538574.14485,1455672.84397,691.58710,SW/BOC
150,538535.74499,1455709.87032,692.58917,SW/BOC
151,538503.88420,1455636.63253,680.96477,GS
152,538531.64527,1455584.11252,680.21595,GS
153,538502.16628,1455611.11983,680.57732,GS
154,538561.76903,1455597.25827,680.13842,GS
155,538578.70009,1455547.33886,679.73703,GS
156,538557.04175,1455526.17861,679.31320,GS
157,538578.14515,1455495.07251,679.17794,GS
158,538443.73441,1455509.34378,693.96953,TOP
159,538422.41007,1455551.51904,694.14702,TOP
160,538404.20049,1455573.27870,694.67233,TOP
161,538446.61335,1455507.01567,693.99124,STEP
162,538447.63890,1455503.24174,694.08925,STEP
163,538459.03149,1455510.95297,690.19536,STEP
164,538461.18596,1455506.64012,690.16965,STEP
165,538458.57622,1455524.96278,690.28610,GS
166,538760.56576,1455123.02913,684.51082,K
167,538631.79061,1455579.77622,684.29348,TOPWALL
168,538640.00411,1455572.08243,684.48316,TOPWALL
169,538639.55641,1455570.99637,684.19726,TOPWALL
170,538640.39297,1455568.30379,683.91688,TOPWALL
171,538643.41049,1455565.20069,684.00539,TOPWALL
172,538648.44632,1455557.41579,686.04369,TOPWALL
173,538648.47366,1455558.77606,684.11812,TOPWALL
174,538648.40668,1455569.45074,686.81996,CL1.5*1.5COLMN
175,538657.35273,1455576.57518,693.44637,CL1.5*1.5COLMN
176,538654.18812,1455562.85099,686.24423,CL1.5*1.5COLMN
177,538656.69041,1455580.77860,690.31135,CL1.5*1.5COLMN
178,538667.38412,1455568.31379,690.74108,CL1.5*1.5COLMN
179,538639.04973,1455561.94028,682.45751,STEPS
180,538638.75048,1455556.67635,682.42807,STEPS
181,538639.71406,1455552.73873,684.30045,TOPWALL
182,538639.70746,1455553.58548,682.54184,STEPS
183,538635.28929,1455553.51641,681.94980,STEPS
184,538632.61658,1455558.37136,681.80709,STEPS
185,538633.43707,1455563.59331,681.95810,STEPS
186,538638.56583,1455568.91665,682.07764,STEPS
187,538635.51919,1455552.38889,683.72937,TOPWALL
188,538623.47800,1455546.36697,682.58366,TOPWALL
189,538616.62767,1455531.09007,681.46555,TOPWALL
190,538620.27624,1455514.23669,681.31140,TOPWALL
191,538630.74335,1455495.54179,681.01060,TOPWALL
192,538643.66184,1455484.29739,680.76431,TOPWALL
193,538645.52500,1455476.52461,681.01830,TOPWALL
194,538649.35465,1455467.46084,680.90840,TOPWALL
195,538654.73006,1455458.93804,680.82669,TOPWALL
196,538670.13076,1455453.93677,680.69155,TOPWALL
197,538673.91941,1455454.06239,680.60785,TOPWALL
198,538676.09314,1455455.37385,680.54900,TOPWALL
199,538681.86204,1455458.06824,681.31971,TOPWALL
200,538688.98172,1455458.25920,681.57486,TOPWALL
201,538693.08397,1455455.71022,681.52290,TOPWALL
202,538694.17215,1455451.89784,681.14785,TOPWALL
203,538693.91717,1455451.81062,680.46337,TOEWALL
204,538692.43835,1455455.82244,680.56288,TOEWALL
205,538688.99086,1455457.89109,680.54150,TOEWALL
206,538682.80987,1455458.01331,680.23255,TOEWALL
207,538677.22088,1455455.99320,680.14054,TOEWALL
